Item,Quantity,Name,Material
1,1,bottom_mgn15,PETG
2,18,"M3  Hex nut ",Hardened Alloy Steel
3,2,DIN 912 M3 20 mm,Hardened Alloy Steel
4,2,DIN 912 M3 40 mm,Hardened Alloy Steel
5,1,Duct v2.1 Straight,PETG
6,1,back_corexy,PETG
7,2,tension_slider_9mm_belt_M5,PETG
8,1,DIN 912 M3 25 mm,Hardened Alloy Steel
9,2,DIN 912 M5 45 mm,Hardened Alloy Steel
10,2,M5  Hex nut Nyloc,Hardened Alloy Steel
11,1,5015 fan,- None -
12,2,DIN 912 M3 40 mm,Hardened Alloy Steel
13,4,DIN 912 M3 10 mm,Hardened Alloy Steel
14,4,"M3  Hex nut ",Hardened Alloy Steel
15,1,DIN 912 M3 8 mm,Hardened Alloy Steel
16,1,Zesty Nimble V2 Right,- None -
17,3,DIN 912 M3 30 mm,Hardened Alloy Steel
18,1,top_endstop_plug_mgn15,- None -
19,1,top_nimble_mgn15,PETG
20,1,cable_holder,PETG
21,1,unversal_cable_mount,PETG
22,2,DIN 912 M3 10 mm,Hardened Alloy Steel
23,1,universal_face,PETG
24,2,face_belt_grabber,PETG
25,4,DIN 912 M3 8 mm,Hardened Alloy Steel
