Item,Quantity,Name,Material
1,1,V6-175-SINK,- None -
2,1,V6-175-BREAK,- None -
3,1,V6-BLOCK-CARTRIDGE,- None -
4,1,V6-NOZZLE-ALL,- None -
5,1,SOCK,- None -
6,1,4010 FAN,- None -
7,2,DIN 912 M3 20 mm,Hardened Alloy Steel
8,23,"M3  Hex nut ",Hardened Alloy Steel
9,5,DIN 912 M3 25 mm,Hardened Alloy Steel
10,2,DIN 912 M3 10 mm,Hardened Alloy Steel
11,1,universal_face,PETG
12,2,face_belt_grabber,PETG
13,5,DIN 912 M3 8 mm,Hardened Alloy Steel
14,1,v6_face,PETG
15,1,v6_face_clamp,PETG
16,1,v6_support,PETG
17,1,shroud,PETG
18,1,top_endstop_plug_mgn12,PETG
19,1,top_nimble_mgn12,PETG
20,2,DIN 912 M3 35 mm,Hardened Alloy Steel
21,4,DIN 912 M3 10 mm,Hardened Alloy Steel
22,4,"M3  Hex nut ",Hardened Alloy Steel
23,1,DIN 912 M3 8 mm,Hardened Alloy Steel
24,1,Zesty Nimble v2 Extruder,- None -
25,3,DIN 912 M3 30 mm,Hardened Alloy Steel
26,1,back_corexy,PETG
27,1,tension_slider_9mm_belt_M5,PETG
28,1,tension_slider_9mm_belt_M5_mirror,PETG
29,1,5015 fan,- None -
30,2,DIN 912 M5 45 mm,Hardened Alloy Steel
31,2,M5  Hex nut Nyloc,Hardened Alloy Steel
32,1,bottom_mgn12_short_duct,PETG
33,2,DIN 912 M3 12 mm,Hardened Alloy Steel
34,2,DIN 912 M3 35 mm,Hardened Alloy Steel
35,1,Duct v2.1 Straight,PETG
